Borough,Avg-HousePrice,Latitude,Longitude
Marble hill,973000,40.8761,73.9103
Inwood,409000,40.8677,73.9212
Washington_Heights,625000,40.8417,73.9394
Harlem,948000,40.8116,73.9465
East_Harlem,875000,40.7957,73.9289
Morningside_Heights,785000,40.8105,73.9621
Upper_West_Side,1390000,40.7870,73.9754
Upper_East_Side,1390000,40.7736,73.9566
Sutton_Place,1150000,40.7576,73.9617
Hell's_Kitchen,1120000,40.7638,73.9918
Midtown,2030000,40.7571,73.9719
Garment_District,1050000,40.7547,73.9916
Murray_Hill,829000,40.7479,73.9757
Chelsea,1920000,40.7465,74.0014
Koreantown,739900,40.7477,73.9869
Flatiron_District,2450000,40.7401,73.9903
Gramercy_Park,1140000,40.7368,73.9845
West_Village,1800000,40.7347,74.0048
Greenwich_Village,1200000,40.7336,74.0027
East_Village,892500,40.7265,73.9815
NoHo,3850000,40.7287,73.9926
Hudson_Square,2490000,40.7266,74.0075
SoHo,2990000,40.7233,74.0030
Little_Italy,3490000,40.7191,73.9973
Lower_East_Side,875000,40.7150,73.9843
TriBeca,4290000,40.7163,74.0086
Chinatown,1990000,40.7158,73.9970
Battery Park City,1620000,40.7116,74.0158
Financial District,1500000,40.7077,74.0083
